draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y0.1,y0.2,y0.3,y0.4,y0.5,y0.6,y0.7,y0.8,y0.9,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
18,-6326.3556420314935,0.9919672930355413,1.721425708678461e-05,10.0,1023.0,0.0,6341.190136684133,10001.172268915787,10000.028747373382,59898.08597360295,16.195049931338033,1.1059144597475996,0.9332683095126201,0.3071662402407919,12.244460400422353,1.9442799271577875,0.5789143036072457,0.10294507502482057,3134.3824199015185,1060.9670399507454,4359.9302988724285,3679.35476718208,1840.1007074806762,1828.6673094936789,1256.7446778029894,0.6000108319427833,0.8748967794782259,3.5047994497824884,9.999178395047592e-07,0.08384733870421764,0.10617435525304832,0.4594219552099892,0.10001372409719185,0.34958098425718825,1.0507292336218508,0.004630860074406505,13.528365664908812,0.6877583369094884,0.001054258343967512,0.31679614932568023,0.6693682334606272
19,-6525.012211840882,0.95435065502292,0.00041953206921697646,10.0,1023.0,0.0,6545.564569464585,1.742633313352497,29.845270040302704,48681.50578310708,10491.473607720312,9999.589367492767,2.2644874809697106,4116.279937933464,514.9084258527967,504.0194435684006,1102.7982197615402,1287.02755832538,3047.397986667096,1495.7180424171027,0.12852363068135628,3739.193295124423,1216.0747704570008,998.9583651429815,976.0866260263097,0.6712776646696688,1.028976376118779,3.434815192376372,9.89340599697818e-07,0.12531965486750954,0.1279915722378678,0.3939776013328958,0.09781046424687875,0.10841473949406098,0.8702691435958003,0.029987975632343487,10.20273083593347,0.8913928737607887,0.001182222802600555,0.16708377222687026,0.06028023084250956
20,-6116.373993423445,0.9035265224150686,0.0003503690592530869,10.0,1023.0,0.0,6145.323556922627,9998.939327173923,84.11429519682945,55299.58809904904,10043.91432353483,1.0989198050064548,8494.734643101194,2454.484018922986,1249.5436772270436,333.22651487494335,3.527567331877934,1571.9648837791099,3260.8509292513463,11.006765284479545,2944.1862874940716,227.85905735183763,805.363485664439,942.3183300668561,964.74889600515,0.6494990267642518,0.8144846799929367,3.206809850986976,9.799613441893192e-07,0.1135569022615401,0.11620714893227362,0.36054475205294206,0.09824247315447628,0.3713013348975396,0.9429548326348527,0.17519230595234,13.31292560406215,0.85452258321836,0.0010446022651635785,0.26677521376981356,0.11637139306643908
21,-7261.267189448014,0.90900818903846,3.9714828237595904e-05,10.0,1023.0,0.0,7278.304320027805,10034.854093276675,10000.216464190813,5.741195369994207,30395.6207292628,9892.60635629456,9992.429664738798,1459.7427574202568,800.4072771405703,1.317788757031572,83.38820576732738,1.6431565941542836,9565.734682065324,5340.370721875909,30.10334422530591,1.29764429192053,678.1612106584888,843.8783243637571,1016.7131501949044,0.6007305755191135,0.8713920520987678,5.203109046314875,9.953199303602125e-07,0.09642278928334534,0.09486792765014015,0.26873145600511755,0.10013252861815039,0.17194262168546512,1.0302611462725029,0.014012097970831553,13.71067264140903,0.9541841388228637,0.0007291807528564449,0.40834345007794565,0.17689453130033692
22,-6327.176974157282,0.9145285631022444,1.721425708678461e-05,10.0,1023.0,0.0,6345.315239165885,10001.142508233284,9999.958715653143,59895.867201381065,16.194653372359102,1.1059372963285852,0.933267681975468,0.3071702311794553,12.243869234363034,1.9442133805076867,0.5792855006473491,0.1026966384400767,3134.494091211269,1060.9386149466927,4359.536319888193,3679.095002816677,1840.114508392067,1828.707208148384,1256.7691995620542,0.6000097480381696,0.874906410397189,3.504943877307529,9.999268161397361e-07,0.08384484970713232,0.10617435302100606,0.4594105611754374,0.10001257577996259,0.34958886463550937,1.0507412199590562,0.0046307371995450855,13.528728547073062,0.6877777153441467,0.0010542411664772938,0.31680201619315984,0.6693970096880854
23,-6520.649438499029,0.9335059800232502,0.00041953206921697646,10.0,1023.0,0.0,6542.734041300484,1.7435093649073614,29.67181297213538,48621.14876636031,10462.311818975828,9999.712772495424,2.3060075483330156,4001.6391930154223,520.0852325322953,502.55261808122253,1105.675843556096,1291.3496290457808,3046.3048099273205,1501.552154753031,0.12124800167006206,3740.886863934702,1212.3373784142525,991.2826374810975,974.7452530111752,0.6730068330068925,1.0280754892450292,3.434795377746314,9.892395712737827e-07,0.12532437636593627,0.12793320068639139,0.3948384706950458,0.09798214745078235,0.10835535210605471,0.8652399812563561,0.030215879537391244,10.200864992818305,0.8927394873513289,0.0011767163014555348,0.16753145274599004,0.060174415090367264
24,-6114.938647984863,0.9995298310459846,0.0003503690592530869,10.0,1023.0,0.0,6128.397923357828,9998.04980882859,78.85533102945296,55341.62670510414,10040.48804488804,1.1112079021088808,8491.747227525573,2463.843996180387,1251.2193116784877,333.4914009018772,3.5568360226183406,1573.6591952785145,3263.926326782892,10.96001869067896,2943.940149964341,227.16306672551863,811.4393084664061,941.3998863206112,964.0368083083501,0.6495411231630813,0.8148903580641477,3.2054278398685043,9.801466022754962e-07,0.1135162803198087,0.11596100561750365,0.3605424477411599,0.0981557545072333,0.37157338195096024,0.9422140924199558,0.17570093499287182,13.33346122606641,0.8544405656140407,0.00104669681398023,0.26638258723745434,0.116802137049955
25,-7261.805234899353,0.7927896909899688,3.9714828237595904e-05,10.0,1023.0,0.0,7281.554354714923,10040.490651877584,9999.796364696398,5.749653859999128,30400.662768166974,9894.21745817847,9994.229458908172,1458.006661122954,798.4743484429415,1.325819979167311,83.97882986970362,1.6228866614874928,9564.59700679171,5336.209673553713,30.1801097552882,1.3018415763524773,677.2154023557296,843.6803456985931,1016.5904679585328,0.6007541343161974,0.8708514052398122,5.20126207991696,9.954569173594002e-07,0.09641441791613706,0.09490051500505346,0.2691015456496688,0.1002362904315138,0.1719446839357439,1.030024551790205,0.014034141506713255,13.709365202184289,0.9543458138301926,0.0007288156257112717,0.40826425315741355,0.17690497042924147
26,-6326.15675733448,0.997269158155896,1.721425708678461e-05,10.0,1023.0,0.0,6352.387144800414,10000.570973849772,10000.009223423447,59893.57173022663,16.195716963396883,1.1059237673386701,0.933290800621218,0.30717138800625493,12.243856283897292,1.9441585147032374,0.5790584677855797,0.10271675532692807,3134.48256003925,1060.8292188599708,4359.474017583599,3679.129871422595,1840.084065517847,1828.6369611967443,1256.7454556339767,0.6000095504130849,0.8749255349789979,3.505103822092439,9.999293777972485e-07,0.08384830729561887,0.10617103822738755,0.45936109325606145,0.10000837567856816,0.34962061536915456,1.0507123359803403,0.0046306174124038455,13.528188694728993,0.6877577146345935,0.0010542592783677781,0.3167853248549842,0.6693947819842537
27,-6519.7601249820955,0.931058641314553,0.00041953206921697646,10.0,1023.0,0.0,6538.142704927404,1.7410098031958905,29.67231145134607,48611.11304507125,10460.675043349043,9999.679324455132,2.3169652297466166,3993.164766901211,519.8751144532898,506.24283883367383,1104.032611235189,1291.2353613895227,3047.393299425815,1502.0063036721808,0.11930351974411807,3739.0796665557077,1210.9786279133523,989.9920424430665,974.5862060374511,0.673089309015566,1.0287759293134713,3.4362492286211284,9.889466460834063e-07,0.12530866452603817,0.1278591814414961,0.39454822654520777,0.0980421261825448,0.10830549112139234,0.8662074062653374,0.030284584267071833,10.207124484331413,0.8932224510929,0.0011762833435733076,0.16727910348658936,0.06004567290020782
